"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Gender_H","Age_Range_H","Clublounge_Used_H","Spa_Used_H","Likelihood_Recommend_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Country_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"638","TRANSIENT",216,"KING","2014-12-05",1,2,"LEISURE",129,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",129,"Female","46-55","","",7,7,NA,8,9,NA,NA,NA,NA,"Austin","Texas","United States",46,"Hyatt Place","",127,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Passive"
"639","TRANSIENT",1031,"QNQN","2014-12-03",3,1,"BUSINESS",697,0,"CONFRM","CONVENTION","UNITED STATES","","Future",418,"Male","46-55","","",10,10,NA,10,10,NA,NA,NA,NA,"Austin","Texas","United States",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Global Contact Center","Promoter"
"640","TRANSIENT",1127,"KING","2014-12-03",3,1,"BUSINESS",777,4.5,"CONFRM","TRANSIENT","UNITED STATES","","Future",777,"Female","56-65","","",10,10,10,10,10,10,10,9,NA,"Austin","Texas","United States",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Promoter"
"641","TRANSIENT",222,"KING","2014-12-02",4,1,"BUSINESS",676,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",676,"Female","46-55","","",9,9,9,9,9,9,9,9,8,"Austin","Texas","United States",46,"Hyatt Place","",127,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
"642","TRANSIENT",1827,"KING","2014-12-02",4,1,"BUSINESS",1036,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",1036,"Female","56-65","","",10,10,10,10,10,10,10,10,NA,"Austin","Texas","United States",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Global Contact Center","Promoter"
"643","TRANSIENT",1215,"KING","2014-12-05",1,1,"BUSINESS",188,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",188,"Female","26-35","","",10,10,10,10,10,10,10,10,NA,"Austin","Texas","United States",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Promoter"
"644","TRANSIENT",1130,"KING","2014-12-01",5,1,"BUSINESS",916,63.25,"CONFRM","TRANSIENT","CANADA","Platinum","Future",916,"Male","46-55","","",10,10,10,10,10,10,NA,10,8,"Austin","Texas","United States",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Promoter"
"645","TRANSIENT",1505,"QNQN","2014-12-05",1,1,"BUSINESS",60.44,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",60.44,"Female","46-55","","",10,10,10,10,10,10,NA,10,10,"Austin","Texas","United States",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Global Contact Center","Promoter"
"646","TRANSIENT",1403,"KNGT","2014-12-05",1,2,"BUSINESS",188,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",188,"Female","46-55","","",10,10,10,10,10,10,10,10,10,"Austin","Texas","United States",72,"Hyatt Place","",296,17,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","Y","","","N","N","","","","","Digital Channels","Promoter"
"647","TRANSIENT",120,"QNQN","2014-12-02",4,3,"BUSINESS",476,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",476,"Female","66-75","","",10,10,NA,10,10,NA,NA,NA,NA,"Corpus Christi","Texas","United States",64,"Hyatt Place","",103,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","N","","","N","Digital Channels","Promoter"
"648","CONVENTION",752,"KING","2014-12-03",3,1,"BUSINESS",477,224.45,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",318,"Male","56-65","","",10,10,NA,10,10,NA,NA,NA,NA,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Digital Channels","Promoter"
"649","CONVENTION",908,"QUEN","2014-12-03",3,2,"BUSINESS",477,0,"SHARE","CONVENTION","UNITED STATES","Gold","Future",477,"Female","36-45","","",10,10,NA,10,10,NA,NA,NA,NA,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Digital Channels","Promoter"
"650","TRANSIENT",1343,"KING","2014-12-05",1,2,"LEISURE",136,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",206,"Prefer not to answer","26-35","","",8,10,NA,9,7,NA,NA,NA,NA,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Global Contact Center","Passive"
"651","TRANSIENT",702,"JRSK","2014-12-05",1,1,"BUSINESS",143.2,2,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",143.2,"Female","36-45","","",9,8,NA,8,8,NA,NA,NA,NA,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Digital Channels","Promoter"
"652","TRANSIENT",769,"KING","2014-12-05",1,1,"LEISURE",129,19,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",129,"Male","26-35","","",9,9,9,9,9,9,9,10,4,"Dallas","Texas","United States",49,"Hyatt Regency","",811,14,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","Y","Y","N","N","N","","","Y","Digital Channels","Promoter"
"653","TRANSIENT",305,"DLXK","2014-12-05",1,2,"LEISURE",214,161,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",214,"Female","46-55","","No",10,10,10,10,10,10,NA,10,10,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"654","TRANSIENT",514,"KING","2014-12-05",1,1,"BUSINESS",80,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",80,"Male","66-75","","No",10,10,10,10,10,10,NA,10,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"655","TRANSIENT",820,"ADQT","2014-12-05",1,2,"LEISURE",139,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",209,"Female","26-35","","",10,10,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Promoter"
"656","CONVENTION",615,"RM2Q","2014-12-05",1,1,"BUSINESS",189,44.5,"CONFRM","CONVENTION","UNITED STATES","","Future",189,"Male","18-25","","",10,10,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Promoter"
"657","CONVENTION",224,"KING","2014-12-05",1,1,"BUSINESS",199,0,"CONFRM","CONVENTION","UNITED STATES","","Future",199,"Female","56-65","","",4,6,NA,8,7,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Detractor"
"658","CONVENTION",513,"KING","2014-12-05",1,1,"BUSINESS",239,4.94,"CONFRM","CONVENTION","UNITED STATES","","Future",239,"Female","56-65","","No",1,1,3,1,6,5,2,7,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Detractor"
"659","CONVENTION",535,"KING","2014-12-05",1,1,"BUSINESS",179,124.94,"CONFRM","CONVENTION","UNITED STATES","","Future",179,"Male","46-55","","",10,10,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Promoter"
"660","CONVENTION",725,"RM2Q","2014-12-05",1,1,"BUSINESS",199,72.97,"CONFRM","CONVENTION","UNITED STATES","","Future",199,"Female","18-25","","",10,9,9,10,9,10,8,9,9,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"661","TRANSIENT",414,"KING","2014-12-05",1,1,"BUSINESS",80,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",80,"Female","36-45","","",9,9,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Digital Channels","Promoter"
"662","TRANSIENT",847,"DLXK","2014-12-05",1,1,"LEISURE",214,0,"CONFRM","TRANSIENT","UNITED STATES","","Past",214,"Male","56-65","","",10,10,NA,10,10,NA,NA,NA,NA,"DFW Airport","Texas","United States",76,"Grand Hyatt","",298,9,"No","Managed","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","","N","N","Y","Global Contact Center","Promoter"
"663","CONVENTION",719,"DDBL","2014-12-05",1,2,"BUSINESS",112,0,"SHARE","CONVENTION","UNITED STATES","","Future",224,"Male","46-55","","",2,3,NA,4,8,NA,NA,NA,NA,"Richardson","Texas","United States",49,"Hyatt Regency","Regency Club",342,18,"No","Franchised","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","Y","N","N","Y","N","N","Y","Y","Y","N","N","N","","","N","Digital Channels","Detractor"
"664","CONVENTION",325,"QNQN","2014-12-05",1,1,"BUSINESS",149,33.14,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",149,"Female","36-45","","",2,9,5,4,9,9,6,NA,7,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Global Contact Center","Detractor"
"665","CONVENTION",799,"QNQN","2014-12-05",1,1,"BUSINESS",129,55,"CONFRM","CONVENTION","UNITED STATES","","Future",129,"Male","46-55","","",8,10,8,8,10,10,NA,10,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels","Passive"
"666","TRANSIENT",326,"QNQN","2014-12-04",2,2,"BUSINESS",186,72.87,"CONFRM","TRANSIENT","UNITED STATES","","Future",186,"Female","26-35","","",2,5,NA,5,10,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Internet","Detractor"
"667","CONVENTION",2015,"VWKG","2014-12-05",1,1,"BUSINESS",179,111.74,"CONFRM","CONVENTION","UNITED STATES","Gold","Future",358,"Female","36-45","","",8,8,NA,8,8,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Global Contact Center","Passive"
"668","CONVENTION",767,"KING","2014-12-05",1,2,"BUSINESS",149,37.25,"SHARE","CONVENTION","UNITED STATES","Gold","Past",149,"Female","66-75","","",3,10,NA,5,10,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Global Contact Center","Detractor"
"669","CONVENTION",1560,"VWQN","2014-12-05",1,2,"BUSINESS",119,0,"SHARE","CONVENTION","UNITED STATES","","Future",119,"Male","26-35","","",4,9,9,6,1,NA,NA,10,0,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels","Detractor"
"670","CONVENTION",312,"QNQN","2014-12-05",1,1,"BUSINESS",158.99,45.45,"CONFRM","CONVENTION","UNITED STATES","","Future",149,"Female","36-45","","",9,8,3,7,NA,NA,1,10,9.5,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels","Promoter"
"671","TRANSIENT",2521,"VWKG","2014-12-05",1,1,"LEISURE",213.34,14,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",239,"Female","36-45","","",10,10,NA,10,10,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Global Contact Center","Promoter"
"672","CONVENTION",1219,"VWQN","2014-12-04",2,1,"BUSINESS",258,4.5,"CONFRM","CONVENTION","UNITED STATES","","Future",258,"Male","46-55","","",9,9,NA,7,9,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels","Promoter"
"673","CONVENTION",895,"QNQN","2014-12-05",1,1,"BUSINESS",149,42,"CONFRM","CONVENTION","UNITED STATES","","Future",149,"Female","36-45","","",4,8,6,8,2,3,NA,NA,4,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels","Detractor"
"674","TRANSIENT",338,"QNQN","2014-12-05",1,2,"BUSINESS",60,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",60,"Female","36-45","","",10,4,2,10,8,10,3,10,7.66666666666,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Global Contact Center","Promoter"
"675","TRANSIENT",766,"KING","2014-12-05",1,1,"LEISURE",164,71.67,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",164,"Female","36-45","","",9,7,NA,7,8,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Global Contact Center","Promoter"
"676","CONVENTION",1909,"VWKG","2014-12-05",1,2,"BUSINESS",129,37,"CONFRM","TRANSIENT","UNITED STATES","","Past",308,"Female","36-45","","",10,10,NA,8,10,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Global Contact Center","Promoter"
"677","TRANSIENT",1095,"QNQN","2014-12-05",1,1,"LEISURE",149,0,"CONFRM","TRANSIENT","UNITED STATES","","Past",149,"Female","36-45","","",8,9,NA,7,8,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels","Passive"
"678","TRANSIENT",1603,"VWKG","2014-12-05",1,2,"LEISURE",181.86,14,"CONFRM","TRANSIENT","UNITED STATES","","Past",204,"Male","18-25","","",9,10,NA,9,10,NA,NA,NA,NA,"Dallas","Texas","United States",53,"Hyatt Regency","",1122,25,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","","","Y","Digital Channels","Promoter"
"679","TRANSIENT",933,"2BKN","2014-12-05",1,2,"LEISURE",129,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",129,"Male","36-45","","",9,9,8,9,9,9,NA,10,NA,"Addison","Texas","United States",64,"Hyatt House","",132,3,"No","Franchised","Y","","N","","N","N","N","","","","","N","N","","","","","","","N","N","","","N","N","","","","","Global Contact Center","Promoter"
"680","TRANSIENT",303,"EXEN","2014-12-05",1,2,"LEISURE",164,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",164,"Female","46-55","","",10,9,10,10,10,10,NA,10,10,"Dallas","Texas","United States",55,"Hyatt House","",155,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"681","TRANSIENT",325,"1BKN","2014-12-04",2,2,"BUSINESS",41.18,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",61.77,"Male","66-75","","",9,9,NA,10,10,NA,NA,NA,NA,"Dallas","Texas","United States",55,"Hyatt House","",155,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"682","TRANSIENT",3104,"1BKN","2014-12-05",1,2,"LEISURE",109,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",109,"Female","36-45","","",4,5,2,1,5,5,8,8,2,"Richardson","Texas","United States",68,"Hyatt House","",130,2,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","","N","N","N","Digital Channels","Detractor"
"683","TRANSIENT",420,"DLXN","2014-12-04",2,2,"BUSINESS",228,0,"CONFRM","TRANSIENT","","","Future",228,"","56-65","","",9,10,10,10,10,8,10,10,7.5,"Dallas","Texas","United States",55,"Hyatt House","",155,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Internet","Promoter"
"684","TRANSIENT",325,"EXKN","2014-12-05",1,2,"BUSINESS",20.24,4.16,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Past",20.24,"Female","26-35","","",2,4,NA,3,6,NA,NA,NA,NA,"Dallas","Texas","United States",51,"Hyatt House","",142,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Detractor"
"685","TRANSIENT",225,"EXKN","2014-12-05",1,2,"LEISURE",164,24.02,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",164,"Female","46-55","","",2,NA,NA,1,4,NA,NA,NA,NA,"Dallas","Texas","United States",51,"Hyatt House","",142,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Detractor"
"686","TRANSIENT",233,"DLXN","2014-12-05",1,2,"LEISURE",129,0,"CONFRM","TRANSIENT","UNITED STATES","","Past",129,"Male","56-65","","",10,8,10,8,9,9,NA,8,10,"Dallas","Texas","United States",51,"Hyatt House","",142,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"687","TRANSIENT",342,"1BKN","2014-12-04",2,2,"LEISURE",134,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",134,"Female","56-65","","",10,10,10,10,10,10,10,10,10,"Dallas","Texas","United States",55,"Hyatt House","",155,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"688","TRANSIENT",216,"DLXN","2014-12-04",2,2,"BUSINESS",40.48,5.54,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",40.48,"Male","26-35","","",10,7,NA,5,10,NA,NA,NA,NA,"Dallas","Texas","United States",51,"Hyatt House","",142,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
"689","TRANSIENT",303,"KING","2014-12-05",1,2,"BUSINESS",89,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",89,"Female","46-55","","",10,9,10,9,8,8,9,8,8,"Arlington","Texas","United States",52,"Hyatt Place","",127,6,"No","Managed","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","Y","Y","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"690","TRANSIENT",623,"KING","2014-12-03",3,2,"BUSINESS",363,10.75,"CONFRM","TRANSIENT","UNITED STATES","","Future",363,"Female","46-55","","",10,10,10,10,7,4,9,10,9,"Garland","Texas","United States",63,"Hyatt Place","",153,6,"No","Franchised","N","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
"691","TRANSIENT",205,"QNQN","2014-12-05",1,2,"LEISURE",139,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",139,"Female","56-65","","",10,10,10,10,10,9,10,10,8,"Garland","Texas","United States",63,"Hyatt Place","",153,6,"No","Franchised","N","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"692","TRANSIENT",222,"QNQN","2014-12-05",1,2,"BUSINESS",121,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",121,"Female","46-55","","",10,10,NA,10,10,NA,NA,NA,NA,"Garland","Texas","United States",63,"Hyatt Place","",153,6,"No","Franchised","N","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center","Promoter"
"693","TRANSIENT",221,"DDBL","2014-12-05",1,1,"BUSINESS",178,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",267,"Female","66-75","","",8,8,NA,9,9,NA,NA,NA,NA,"Fort Worth","Texas","United States",62,"Hyatt Place","",127,6,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Global Contact Center","Passive"
"694","TRANSIENT",613,"DDBL","2014-12-04",2,1,"BUSINESS",243.54,5.5,"CONFRM","TRANSIENT","UNITED STATES","","Future",243.54,"Male","36-45","","",10,10,NA,10,10,NA,NA,NA,NA,"Fort Worth","Texas","United States",62,"Hyatt Place","",127,6,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Internet","Promoter"
"695","TRANSIENT",311,"KING","2014-12-04",2,2,"BUSINESS",218,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",218,"Male","66-75","","",10,10,4,10,10,10,NA,10,5,"Grapevine","Texas","United States",66,"Hyatt Place","",124,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
"696","TRANSIENT",612,"KNGT","2014-12-03",3,2,"LEISURE",348,0,"CONFRM","TRANSIENT","UNITED STATES","","Past",232,"Female","66-75","","",9,9,9,9,9,9,9,9,9,"Fort Worth","Texas","United States",62,"Hyatt Place","",127,6,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Global Contact Center","Promoter"
"697","TRANSIENT",601,"KING","2014-12-05",1,2,"LEISURE",109,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Past",109,"Male","56-65","","",9,9,NA,NA,9,NA,NA,NA,NA,"Fort Worth","Texas","United States",62,"Hyatt Place","",127,6,"No","Franchised","Y","","N","","N","N","N","","","","","N","Y","","","","","","","N","N","","","N","N","","","","","Digital Channels","Promoter"
"698","TRANSIENT",625,"KING","2014-12-05",1,1,"BUSINESS",35.71,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",35.71,"Male","36-45","","",9,9,NA,9,8,NA,NA,NA,NA,"Grapevine","Texas","United States",66,"Hyatt Place","",124,6,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels","Promoter"
